player_name,top-speed,distance,sprints,intensive-runs
Nick Woltemade,32.9,21.4,36.0,134.0
Daniel Ginczek,32.9,28.9,89.0,232.0
Thomas Müller,32.89,347.5,632.0,2193.0
Jonathan Schmid,32.89,279.9,592.0,1764.0
Noah Sarenren Bazee,32.89,6.4,22.0,55.0
Bouna Sarr,32.88,59.9,154.0,463.0
Omar Alderete,32.88,139.4,198.0,752.0
Manuel Gulde,32.87,230.4,214.0,1024.0
Ermedin Demirovic,32.87,182.4,550.0,1301.0
Tuta,32.87,173.3,267.0,988.0
Tim Fosu-Mensah,32.86,47.4,106.0,303.0
Daniel Brosinski,32.85,173.2,400.0,1123.0
Mathew Leckie,32.83,68.5,181.0,526.0
Petar Musa,32.82,91.9,207.0,643.0
Philipp Lienhart,32.82,351.1,467.0,1747.0
Theodor Gebre Selassie,32.82,374.5,746.0,2516.0
Josip Brekalo,32.82,231.1,524.0,1665.0
Fredrik Jensen,32.81,56.5,158.0,490.0
Suat Serdar,32.8,239.9,371.0,1324.0
Marin Pongracic,32.8,63.5,142.0,381.0
Jordan Torunarigha,32.8,106.2,187.0,510.0
Emil Forsberg,32.79,196.8,371.0,1245.0
Munas Dabbur,32.78,118.9,257.0,828.0
Benjamin Pavard,32.78,242.2,650.0,1765.0
Daley Sinkgraven,32.78,195.0,488.0,1414.0
Dedryck Boyata,32.78,166.4,185.0,722.0
Benjamin Henrichs,32.74,64.0,135.0,440.0
Roland Sallai,32.73,206.2,506.0,1417.0
Felix Uduokhai,32.73,304.9,467.0,1753.0
Matija Nastasic,32.72,133.6,130.0,527.0
Florian Wirtz,32.72,304.6,690.0,2235.0
Dan-Axel Zagadou,32.72,34.1,39.0,166.0
Dimitrios Limnios,32.71,50.3,114.0,357.0
Edmond Tapsoba,32.69,310.1,565.0,1760.0
Michael Gregoritsch,32.68,107.3,261.0,807.0
Oliver Baumann,32.67,162.4,21.0,125.0
Florian Müller,32.67,175.2,18.0,122.0
Jean-Paul Boëtius,32.66,274.1,628.0,2046.0
Sebastian Rudy,32.65,237.9,368.0,1393.0
Erik Durm,32.65,192.0,613.0,1632.0
Mike van der Hoorn,32.65,160.3,194.0,849.0
Reinier,32.64,36.7,83.0,298.0
Vladimír Darida,32.64,274.7,641.0,2295.0
Reece Oxford,32.63,164.4,279.0,931.0
Yannik Keitel,32.62,63.1,104.0,368.0
Alessandro Schöpf,32.61,127.2,315.0,962.0
Vincenzo Grifo,32.61,296.2,670.0,2225.0
Maximilian Philipp,32.61,141.2,289.0,931.0
Edimilson Fernandes,32.6,106.6,179.0,595.0
Julian Brandt,32.59,202.5,459.0,1485.0
Rafael Czichos,32.58,242.9,300.0,1148.0
Oscar Wendt,32.57,151.3,372.0,1076.0
Romano Schmid,32.56,151.0,293.0,1032.0
Salih Özcan,32.56,167.3,329.0,1036.0
Konrad Laimer,32.55,11.1,39.0,83.0
Malick Thiaw,32.54,167.6,266.0,938.0
Lilian Egloff,32.54,3.0,6.0,22.0
Pavel Kaderábek,32.53,201.0,469.0,1349.0
Andrej Kramaric,32.53,305.7,786.0,2291.0
